37 3
32	0.00		-3.18
37	2.78		3.31
42	5.56		13.85
47	8.33		0.92
52	11.11		6.02
57	13.89		17.95
62	16.67		18.04
67	19.44		12.53
72	22.22		25.98
77	25.00		15.86
82	27.78		27.15
87	30.56		38.01
92	33.33		25.53
97	36.11		38.66
102	38.89		38.77
107	41.67		36.37
112	44.44		38.67
117	47.22		41.00
122	50.00		58.50
127	52.78		49.34
132	55.56		46.69
137	58.33		52.41
142	61.11		69.55
147	63.89		68.92
152	66.67		62.29
157	69.44		75.41
162	72.22		72.39
167	75.00		69.96
172	77.78		78.80
177	80.56		73.78
182	83.33		91.64
187	86.11		79.67
192	88.89		87.74
197	91.67		91.16
202	94.44		89.27
207	97.22		103.76
212	100.00		92.93
